date,topic,source,headline,sentiment_score,relevance_score,is_real
2024-01-01,Member Relations,E&E News,Tri-State Board Approves Revised Member Exit Provisions,-0.265,0.75,False
2024-01-07,Energy Transition,Public Comment - FERC,Tri-State Accelerates Clean Energy Goals Ahead of 2030 Target,-0.091,0.42,False
2024-01-08,Coal Retirement,Albuquerque Journal,Workforce Transition Programs Launched for Affected Communities,0.142,0.72,False
2024-01-11,Community Impact,Public Comment - FERC,Rural Broadband Initiative Leverages Cooperative Infrastructure,0.52,0.97,False
2024-01-12,Member Relations,Public Comment - PUC,Tri-State Board Approves Revised Member Exit Provisions,-0.589,0.68,False
2024-01-13,Renewable Energy,Albuquerque Journal,Distributed Solar Growth Creates Grid Management Challenges,0.461,0.91,False
2024-01-16,Community Impact,Reuters Energy,Member Communities Benefit from Cooperative Dividend Distribution,0.737,0.5,False
2024-01-17,Rate Changes,Public Comment - FERC,FERC Reviews Tri-State Rate Filing Amid Member Concerns,-0.189,0.68,False
2024-01-20,Rate Changes,Reuters Energy,Tri-State Rates Remain Competitive vs Regional Utilities,0.198,0.46,False
2024-01-20,Community Impact,Social Media,Cooperative Model Delivers Value to Rural Western Communities,0.649,0.49,False
2024-01-21,Community Impact,Denver Post,Tri-State Awards $2M in Community Development Grants,0.047,0.46,False
2024-01-23,Coal Retirement,Reuters Energy,Coal Retirement Costs Create Long-term Financial Obligations,0.309,0.78,False
2024-01-27,Regulatory Compliance,Utility Dive,Colorado Clean Energy Standards Tighten for Wholesale Providers,0.455,0.8,False
2024-01-28,Coal Retirement,Public Comment - PUC,Workforce Transition Programs Launched for Affected Communities,-0.041,0.73,False
2024-01-28,Member Relations,Albuquerque Journal,Kit Carson Electric Reports Savings After Partial Exit,0.09,0.93,False
2024-01-29,Energy Transition,Reuters Energy,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.613,0.41,False
2024-01-29,Energy Transition,Casper Star-Tribune,Energy Transition Costs Raise Concerns Among Rural Cooperatives,0.092,0.62,False
2024-01-31,Regulatory Compliance,Reuters Energy,FERC Order Impacts Cooperative Wholesale Market Participation,0.5,0.44,False
2024-02-02,Renewable Energy,Casper Star-Tribune,Distributed Solar Growth Creates Grid Management Challenges,0.128,0.98,False
2024-02-03,Rate Changes,Public Comment - FERC,FERC Reviews Tri-State Rate Filing Amid Member Concerns,-1.0,0.9,False
2024-02-04,Grid Reliability,Public Comment - FERC,Tri-State Invests $150M in Transmission Upgrades,-0.03,0.6,False
2024-02-05,Energy Transition,Denver Post,Tri-State Announces New Solar Project in Eastern Colorado,0.557,0.52,False
2024-02-06,Regulatory Compliance,Reuters Energy,Tri-State Passes NERC CIP Compliance Audit,0.291,0.91,False
2024-02-06,Member Relations,E&E News,Tri-State Board Approves Revised Member Exit Provisions,-0.204,0.69,False
2024-02-07,Member Relations,E&E News,La Plata Electric Explores Partial Requirements Options,0.044,0.72,False
2024-02-09,Renewable Energy,Denver Post,New Pumped Hydro Study Shows Promise for Tri-State Territory,0.545,0.59,False
2024-02-12,Member Relations,Colorado Sun,Tri-State Board Approves Revised Member Exit Provisions,-0.13,0.44,False
2024-02-12,Grid Reliability,Utility Dive,Tri-State Deploys Advanced Fault Detection Technology,0.293,0.83,False
2024-02-13,Coal Retirement,E&E News,Environmental Groups Praise Accelerated Coal Phase-out,0.115,0.46,False
2024-02-15,Energy Transition,Utility Dive,Tri-State Signs 500MW Wind Power Purchase Agreement,-0.002,0.87,False
