member,state,consumers,peak_demand_mw,status,risk_score,satisfaction_score,tri_state_rate,market_alternative_rate,rate_gap,contract_end_year,estimated_ctp_millions,annual_revenue_millions,early_warning_signals,recommended_actions
Mountain View Electric,CO,54000,198,active,0.952,0.312,65.58,49.09,16.49,2050,286.2,51.2,Board discussing power supply alternatives; Colorado policy supports cooperative choice; Large enough to achieve purchasing economies independently; Engaged consultant for exit feasibility study; Negative sentiment in public board minutes,Proactive executive engagement; Customized rate impact analysis; Explore partial requirements contract; Co-design local generation project; Schedule member satisfaction review
La Plata Electric (LPEA),CO,35000,145,departing_2026,0.92,0.232,57.89,44.14,13.75,2026,140.8,33.1,Board discussing power supply alternatives; Colorado policy supports cooperative choice; Large enough to achieve purchasing economies independently; Engaged consultant for exit feasibility study; Negative sentiment in public board minutes,Proactive executive engagement; Customized rate impact analysis; Co-design local generation project; Schedule member satisfaction review
Kit Carson Electric,NM,29000,118,partial_exit,0.7,0.433,63.02,53.38,9.64,2040,160.1,29.3,Board discussing power supply alternatives; Engaged consultant for exit feasibility study,Proactive executive engagement; Customized rate impact analysis; Co-design local generation project; Schedule member satisfaction review
Poudre Valley REA,CO,43000,165,active,0.672,0.292,61.1,40.61,20.49,2050,227.7,39.7,Board discussing power supply alternatives; Colorado policy supports cooperative choice; Significant rate gap vs market alternatives; Large enough to achieve purchasing economies independently; Engaged consultant for exit feasibility study; Negative sentiment in public board minutes,Proactive executive engagement; Customized rate impact analysis; Explore partial requirements contract; Co-design local generation project; Schedule member satisfaction review
Intermountain REA,CO,28500,112,active,0.545,0.213,59.77,44.48,15.29,2050,151.2,26.4,Board discussing power supply alternatives; Colorado policy supports cooperative choice; Negative sentiment in public board minutes,Proactive executive engagement; Customized rate impact analysis; Explore partial requirements contract; Co-design local generation project; Schedule member satisfaction review
Mountain Parks Electric,CO,22300,95,active,0.535,0.31,58.83,52.11,6.71,2050,96.7,22.0,Board discussing power supply alternatives; Colorado policy supports cooperative choice; Negative sentiment in public board minutes,Proactive executive engagement; Customized rate impact analysis; Co-design local generation project; Schedule member satisfaction review
Empire Electric,CO,15200,68,active,0.526,0.589,61.59,51.24,10.35,2050,61.8,16.5,Board discussing power supply alternatives; Colorado policy supports cooperative choice,Proactive executive engagement; Customized rate impact analysis; Schedule member satisfaction review
Gunnison County Electric,CO,8900,42,active,0.465,0.415,65.03,45.1,19.94,2050,39.0,10.8,Colorado policy supports cooperative choice; Significant rate gap vs market alternatives,Explore partial requirements contract; Schedule member satisfaction review
Highline Electric,CO,6400,31,active,0.444,0.422,56.26,39.38,16.88,2050,38.1,6.9,Colorado policy supports cooperative choice,Explore partial requirements contract; Schedule member satisfaction review
San Miguel Power,CO,11500,52,active,0.444,0.588,60.13,40.46,19.67,2050,43.9,12.3,Colorado policy supports cooperative choice; Significant rate gap vs market alternatives,Explore partial requirements contract; Schedule member satisfaction review
